"Spp","Plot.ID","Year","P1","P2","P3","P4","P5","P6","P7","P1_before","P2_before","P3_before","P4_before","P5_before","P6_before","P7_before"
ERIVAG,6,2017,138,138,147,NA,NA,NA,NA,137,137,145,NA,NA,NA,NA
ERIVAG,7,2017,135,138,147,NA,NA,NA,NA,133,137,145,NA,NA,NA,NA
ERIVAG,8,2017,138,138,153,NA,NA,NA,NA,137,137,151,NA,NA,NA,NA
ERIVAG,9,2017,138,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA
ERIVAG,10,2017,138,141,147,NA,NA,NA,NA,137,139,145,NA,NA,NA,NA
ERIVAG,11,2017,138,138,150,NA,NA,NA,NA,137,137,149,NA,NA,NA,NA
ERIVAG,12,2017,141,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA
ERIVAG,13,2017,138,138,147,NA,NA,NA,NA,137,137,145,NA,NA,NA,NA
ERIVAG,14,2017,138,141,147,NA,NA,NA,NA,137,139,145,NA,NA,NA,NA
ERIVAG,15,2017,138,138,150,NA,NA,NA,NA,137,137,149,NA,NA,NA,NA
ERIVAG,16,2017,138,138,147,NA,NA,NA,NA,137,137,145,NA,NA,NA,NA
ERIVAG,17,2017,141,141,147,NA,NA,NA,NA,139,139,145,NA,NA,NA,NA
ERIVAG,18,2017,138,138,147,NA,NA,NA,NA,137,137,145,NA,NA,NA,NA
ERIVAG,19,2017,138,138,144,NA,NA,NA,NA,137,137,143,NA,NA,NA,NA
ERIVAG,20,2017,138,138,147,NA,NA,NA,NA,137,137,145,NA,NA,NA,NA
SALARC,F1,2017,147,159,NA,NA,198,246,NA,145,156,NA,NA,195,243,NA
SALARC,M1,2017,147,150,174,NA,198,183,234,145,149,171,NA,195,180,231
SALARC,F2,2017,147,159,NA,NA,238,231,234,145,156,NA,NA,237,229,231
SALARC,M2,2017,147,153,NA,NA,238,210,240,145,151,NA,NA,237,207,238
SALARC,F3,2017,147,163,NA,NA,204,228,234,145,162,NA,NA,201,225,231
SALARC,M3,2017,147,159,NA,NA,198,234,234,145,156,NA,NA,195,231,231
SALARC,F4,2017,147,156,NA,NA,204,231,NA,145,153,NA,NA,201,229,NA
SALARC,M4,2017,147,165,NA,NA,204,238,NA,145,163,NA,NA,201,237,NA
SALARC,F5,2017,147,159,NA,NA,204,219,238,145,156,NA,NA,201,216,237
SALARC,M5,2017,147,NA,163,NA,238,240,NA,145,NA,162,NA,237,238,NA
SALARC,F6,2017,147,160,NA,NA,238,238,NA,145,159,NA,NA,237,237,NA
SALARC,M6,2017,147,163,NA,NA,210,228,234,145,162,NA,NA,207,225,231
SALARC,F7,2017,147,153,NA,NA,210,228,234,145,151,NA,NA,207,225,231
SALARC,M7,2017,147,163,NA,NA,238,238,NA,145,162,NA,NA,237,237,NA
SALARC,F8,2017,147,159,NA,177,210,231,234,145,156,NA,176,207,229,231
SALARC,M8,2017,147,150,177,NA,204,228,NA,145,149,176,NA,201,225,NA
SALARC,F9,2017,147,163,NA,NA,204,238,NA,145,162,NA,NA,201,237,NA
SALARC,M9,2017,147,150,177,NA,210,234,234,145,149,176,NA,207,231,231
SALARC,F10,2017,147,150,NA,174,210,229,234,145,149,NA,171,207,228,231
SALARC,M10,2017,147,153,186,NA,189,238,NA,145,151,183,NA,186,237,NA
DRYINT,1,2016,135,180,189,197,197,NA,NA,131,177,186,193,193,NA,NA
DRYINT,2,2016,131,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA
DRYINT,3,2016,131,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA
DRYINT,4,2016,131,180,159,193,197,NA,NA,121,177,156,189,193,NA,NA
DRYINT,5,2016,131,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA
DRYINT,6,2016,131,183,189,193,197,NA,NA,121,180,186,189,193,NA,NA
DRYINT,7,2016,131,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA
DRYINT,8,2016,135,NA,183,197,NA,NA,NA,131,NA,180,193,NA,NA,NA
DRYINT,9,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,10,2016,135,176,177,189,197,NA,NA,131,171,176,186,193,NA,NA
DRYINT,11,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,12,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,13,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,14,2016,135,183,189,197,197,NA,NA,131,180,186,193,193,NA,NA
DRYINT,15,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,16,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,17,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,18,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,19,2016,135,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA
DRYINT,20,2016,135,207,189,197,207,NA,NA,131,204,186,193,204,NA,NA
ERIVAG,1,2016,142,142,156,NA,NA,NA,NA,138,138,151,NA,NA,NA,NA
ERIVAG,2,2016,135,138,156,NA,NA,NA,NA,125,135,151,NA,NA,NA,NA
ERIVAG,3,2016,135,135,144,NA,NA,NA,NA,125,125,142,NA,NA,NA,NA
ERIVAG,4,2016,135,135,156,NA,NA,NA,NA,125,125,151,NA,NA,NA,NA
ERIVAG,5,2016,135,135,147,NA,NA,NA,NA,125,125,144,NA,NA,NA,NA
ERIVAG,6,2016,135,135,144,NA,NA,NA,NA,125,125,142,NA,NA,NA,NA
ERIVAG,7,2016,135,135,142,NA,NA,NA,NA,125,125,138,NA,NA,NA,NA
ERIVAG,8,2016,135,135,151,NA,NA,NA,NA,125,125,147,NA,NA,NA,NA
ERIVAG,9,2016,135,186,156,NA,NA,NA,NA,125,156,151,NA,NA,NA,NA
ERIVAG,10,2016,135,138,151,NA,NA,NA,NA,125,135,147,NA,NA,NA,NA
ERIVAG,11,2016,135,135,147,NA,NA,NA,NA,125,125,144,NA,NA,NA,NA
ERIVAG,12,2016,142,186,156,NA,NA,NA,NA,138,156,151,NA,NA,NA,NA
ERIVAG,13,2016,138,138,151,NA,NA,NA,NA,135,135,147,NA,NA,NA,NA
ERIVAG,14,2016,135,138,147,NA,NA,NA,NA,125,135,144,NA,NA,NA,NA
ERIVAG,15,2016,135,144,151,NA,NA,NA,NA,125,142,147,NA,NA,NA,NA
ERIVAG,16,2016,135,138,151,NA,NA,NA,NA,125,135,147,NA,NA,NA,NA
ERIVAG,17,2016,135,135,151,NA,NA,NA,NA,125,125,147,NA,NA,NA,NA
ERIVAG,18,2016,135,142,156,NA,NA,NA,NA,125,138,151,NA,NA,NA,NA
ERIVAG,19,2016,135,135,156,NA,NA,NA,NA,125,125,151,NA,NA,NA,NA
ERIVAG,20,2016,135,135,151,NA,NA,NA,NA,125,125,147,NA,NA,NA,NA
SALARC,F1,2016,144,156,NA,177,210,NA,NA,142,154,NA,176,207,NA,NA
SALARC,F10,2016,142,156,NA,NA,197,NA,NA,135,154,NA,NA,193,NA,NA
SALARC,F2,2016,144,159,NA,NA,197,NA,NA,142,156,NA,NA,193,NA,NA
SALARC,F3,2016,144,159,NA,177,189,NA,NA,142,156,NA,176,186,NA,NA
SALARC,F4,2016,144,159,NA,NA,197,NA,NA,142,156,NA,NA,193,NA,NA
SALARC,F5,2016,142,166,NA,NA,210,NA,NA,135,159,NA,NA,207,NA,NA
SALARC,F6,2016,144,159,NA,NA,204,NA,NA,142,156,NA,NA,197,NA,NA
SALARC,F7,2016,142,156,NA,177,197,NA,NA,135,154,NA,176,193,NA,NA
SALARC,F8,2016,142,156,NA,177,197,NA,NA,135,154,NA,176,193,NA,NA
SALARC,F9,2016,142,156,NA,NA,197,NA,NA,135,154,NA,NA,193,NA,NA
SALARC,M1,2016,144,159,183,NA,204,NA,NA,142,156,180,NA,197,NA,NA
SALARC,M10,2016,142,159,177,NA,189,NA,NA,135,156,176,NA,186,NA,NA
SALARC,M2,2016,144,156,NA,NA,207,NA,NA,142,154,NA,NA,204,NA,NA
SALARC,M3,2016,142,159,NA,NA,197,NA,NA,135,156,NA,NA,193,NA,NA
SALARC,M4,2016,142,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA
SALARC,M5,2016,144,177,NA,NA,NA,NA,NA,142,176,NA,NA,NA,NA,NA
SALARC,M6,2016,144,159,183,NA,197,NA,NA,142,156,180,NA,193,NA,NA
SALARC,M7,2016,142,159,NA,NA,214,NA,NA,135,156,NA,NA,210,NA,NA
SALARC,M8,2016,142,156,176,NA,197,NA,NA,135,154,171,NA,193,NA,NA
SALARC,M9,2016,142,147,171,NA,207,NA,NA,135,144,166,NA,204,NA,NA
DRYINT,1,2015,130,175,179,184,200,NA,NA,129,173,175,182,196,NA,NA
DRYINT,2,2015,123,175,182,187,196,NA,NA,120,173,180,184,187,NA,NA
DRYINT,3,2015,130,163,166,184,184,NA,NA,129,162,163,182,182,NA,NA
DRYINT,4,2015,117,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA
DRYINT,5,2015,123,172,172,184,196,NA,NA,120,169,169,182,187,NA,NA
DRYINT,6,2015,117,172,175,184,187,NA,NA,107,169,173,182,184,NA,NA
DRYINT,7,2015,130,172,175,184,184,NA,NA,129,169,173,182,182,NA,NA
DRYINT,8,2015,130,172,175,184,187,NA,NA,129,169,173,182,184,NA,NA
DRYINT,9,2015,130,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA
DRYINT,10,2015,130,172,169,184,187,NA,NA,129,169,166,182,184,NA,NA
DRYINT,11,2015,130,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA
DRYINT,12,2015,130,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA
DRYINT,13,2015,130,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA
DRYINT,14,2015,130,175,180,184,196,NA,NA,129,173,179,182,187,NA,NA
DRYINT,15,2015,137,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA
DRYINT,16,2015,130,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA
DRYINT,17,2015,137,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA
DRYINT,18,2015,137,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA
DRYINT,19,2015,130,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA
DRYINT,20,2015,130,172,172,184,182,NA,NA,129,169,169,182,180,NA,NA
ERIVAG,1,2015,137,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA
ERIVAG,2,2015,137,NA,141,NA,NA,NA,NA,127,NA,137,NA,NA,NA,NA
ERIVAG,3,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,4,2015,137,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA
ERIVAG,5,2015,137,137,137,NA,NA,NA,NA,127,127,127,NA,NA,NA,NA
ERIVAG,6,2015,137,137,137,NA,NA,NA,NA,127,127,127,NA,NA,NA,NA
ERIVAG,7,2015,137,137,137,NA,NA,NA,NA,127,127,127,NA,NA,NA,NA
ERIVAG,8,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,9,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,10,2015,137,137,137,NA,NA,NA,NA,127,127,127,NA,NA,NA,NA
ERIVAG,11,2015,137,137,137,NA,NA,NA,NA,127,127,127,NA,NA,NA,NA
ERIVAG,12,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,13,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,14,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,15,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,16,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,17,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,18,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,19,2015,137,137,141,NA,NA,NA,NA,127,127,137,NA,NA,NA,NA
ERIVAG,20,2015,137,NA,141,NA,NA,NA,NA,127,NA,137,NA,NA,NA,NA
SALARC,F1,2015,137,144,NA,173,212,223,245,135,141,NA,172,200,217,238
SALARC,F10,2015,137,137,NA,160,212,227,238,135,135,NA,159,200,223,233
SALARC,F2,2015,137,141,NA,157,200,223,245,135,138,NA,156,196,217,238
SALARC,F3,2015,137,147,NA,160,196,233,238,135,144,NA,159,187,227,233
SALARC,F4,2015,137,144,NA,160,212,233,245,135,141,NA,159,200,227,238
SALARC,F5,2015,137,137,NA,153,217,227,245,135,135,NA,150,212,223,238
SALARC,F6,2015,137,NA,NA,160,217,223,223,135,NA,NA,159,212,217,217
SALARC,F7,2015,137,137,NA,180,212,227,245,135,135,NA,179,200,223,238
SALARC,F8,2015,137,141,NA,180,196,227,238,135,138,NA,179,187,223,233
SALARC,F9,2015,137,141,NA,157,200,227,238,135,138,NA,156,196,223,233
SALARC,M1,2015,137,144,154,NA,200,223,238,135,141,153,NA,196,217,233
SALARC,M10,2015,137,141,154,NA,196,227,245,135,138,153,NA,187,223,238
SALARC,M2,2015,137,141,160,NA,200,233,245,135,138,159,NA,196,227,238
SALARC,M3,2015,137,141,160,NA,212,223,238,135,138,159,NA,200,217,233
SALARC,M4,2015,137,141,154,NA,212,233,248,135,138,153,NA,200,227,245
SALARC,M5,2015,137,141,147,NA,196,227,238,135,138,144,NA,187,223,233
SALARC,M6,2015,137,141,NA,NA,196,223,245,135,138,NA,NA,187,217,238
SALARC,M7,2015,137,141,154,NA,200,227,245,135,138,153,NA,196,223,238
SALARC,M8,2015,137,141,163,NA,217,223,238,135,138,162,NA,212,217,233
SALARC,M9,2015,137,141,154,NA,196,233,245,135,138,153,NA,187,227,238
DRYINT,1,2014,123,180,183,190,196,NA,NA,120,177,180,189,195,NA,NA
DRYINT,2,2014,123,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA
DRYINT,3,2014,123,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA
DRYINT,4,2014,123,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA
DRYINT,5,2014,123,180,183,186,204,NA,NA,120,177,180,183,201,NA,NA
DRYINT,6,2014,123,174,180,192,196,NA,NA,120,171,177,190,195,NA,NA
DRYINT,7,2014,126,174,183,186,204,NA,NA,123,171,180,183,201,NA,NA
DRYINT,8,2014,126,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA
DRYINT,9,2014,126,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA
DRYINT,10,2014,126,177,177,186,196,NA,NA,123,174,174,183,195,NA,NA
DRYINT,11,2014,126,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA
DRYINT,12,2014,123,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA
DRYINT,13,2014,126,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA
DRYINT,14,2014,123,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA
DRYINT,15,2014,126,190,196,204,204,NA,NA,123,189,195,201,201,NA,NA
DRYINT,16,2014,126,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA
DRYINT,17,2014,126,180,183,186,206,NA,NA,123,177,180,183,204,NA,NA
DRYINT,18,2014,126,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA
DRYINT,19,2014,126,180,183,190,196,NA,NA,123,177,180,189,195,NA,NA
DRYINT,20,2014,126,207,186,196,204,NA,NA,123,206,183,195,201,NA,NA
ERIVAG,1,2014,147,156,156,NA,NA,NA,NA,144,153,153,NA,NA,NA,NA
ERIVAG,2,2014,135,125,156,NA,NA,NA,NA,132,123,153,NA,NA,NA,NA
ERIVAG,3,2014,132,135,144,NA,NA,NA,NA,129,132,141,NA,NA,NA,NA
ERIVAG,4,2014,132,135,NA,NA,NA,NA,NA,129,132,NA,NA,NA,NA,NA
ERIVAG,5,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,6,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,7,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,8,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,9,2014,126,135,141,NA,NA,NA,NA,125,132,138,NA,NA,NA,NA
ERIVAG,10,2014,126,135,141,NA,NA,NA,NA,125,132,138,NA,NA,NA,NA
ERIVAG,11,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,12,2014,132,135,141,NA,NA,NA,NA,129,132,138,NA,NA,NA,NA
ERIVAG,13,2014,132,135,141,NA,NA,NA,NA,129,132,138,NA,NA,NA,NA
ERIVAG,14,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,15,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,16,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,17,2014,132,135,141,NA,NA,NA,NA,129,132,138,NA,NA,NA,NA
ERIVAG,18,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,19,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
ERIVAG,20,2014,126,135,135,NA,NA,NA,NA,125,132,132,NA,NA,NA,NA
SALARC,F1,2014,150,168,NA,NA,213,234,234,147,166,NA,NA,210,231,231
SALARC,F10,2014,135,135,NA,NA,216,234,NA,132,132,NA,NA,213,231,NA
SALARC,F2,2014,150,166,NA,NA,196,234,NA,147,165,NA,NA,195,231,NA
SALARC,F3,2014,156,166,NA,NA,213,234,237,153,165,NA,NA,210,231,234
SALARC,F4,2014,144,196,NA,NA,213,234,NA,141,195,NA,NA,210,231,NA
SALARC,F5,2014,144,166,NA,196,NA,234,NA,141,165,NA,195,NA,231,NA
SALARC,F6,2014,144,166,NA,183,231,240,NA,141,165,NA,180,228,237,NA
SALARC,F7,2014,135,153,NA,NA,216,234,NA,132,150,NA,NA,213,231,NA
SALARC,F8,2014,135,150,NA,NA,204,234,NA,132,147,NA,NA,201,231,NA
SALARC,F9,2014,135,150,NA,NA,225,234,NA,132,147,NA,NA,222,231,NA
SALARC,M1,2014,150,159,177,NA,213,234,NA,147,156,174,NA,210,231,NA
SALARC,M10,2014,135,147,NA,NA,213,234,240,132,144,NA,NA,210,231,237
SALARC,M2,2014,150,159,NA,NA,231,234,NA,147,156,NA,NA,228,231,NA
SALARC,M3,2014,150,166,NA,NA,216,234,NA,147,165,NA,NA,213,231,NA
SALARC,M4,2014,144,166,NA,NA,204,234,NA,141,165,NA,NA,201,231,NA
SALARC,M5,2014,144,159,174,NA,204,216,NA,141,156,171,NA,201,213,NA
SALARC,M6,2014,135,153,NA,NA,227,234,NA,132,150,NA,NA,225,231,NA
SALARC,M7,2014,135,150,NA,NA,231,234,NA,132,147,NA,NA,228,231,NA
SALARC,M8,2014,135,147,NA,NA,183,234,NA,132,144,NA,NA,180,231,NA
SALARC,M9,2014,135,150,177,NA,222,234,240,132,147,174,NA,219,231,237
DRYINT,1,2013,138,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA
DRYINT,2,2013,112,181,184,190,205,NA,NA,109,180,183,189,204,NA,NA
DRYINT,3,2013,112,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA
DRYINT,4,2013,112,181,184,196,205,NA,NA,109,180,183,195,204,NA,NA
DRYINT,5,2013,135,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA
DRYINT,6,2013,133,172,181,184,199,NA,NA,132,171,180,183,198,NA,NA
DRYINT,7,2013,139,NA,181,188,202,NA,NA,138,NA,180,187,201,NA,NA
DRYINT,8,2013,145,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA
DRYINT,9,2013,145,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA
DRYINT,10,2013,142,178,181,196,199,NA,NA,141,177,180,195,198,NA,NA
DRYINT,11,2013,142,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA
DRYINT,12,2013,145,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA
DRYINT,13,2013,145,178,184,188,NA,NA,NA,144,177,183,187,NA,NA,NA
DRYINT,14,2013,142,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA
DRYINT,15,2013,145,181,188,199,NA,NA,NA,144,180,187,198,NA,NA,NA
DRYINT,16,2013,145,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA
DRYINT,17,2013,145,181,184,199,NA,NA,NA,144,180,183,198,NA,NA,NA
DRYINT,18,2013,145,181,184,190,210,NA,NA,144,180,183,189,208,NA,NA
DRYINT,19,2013,145,178,184,188,199,NA,NA,144,177,183,187,198,NA,NA
DRYINT,20,2013,142,172,184,199,202,NA,NA,141,171,183,198,201,NA,NA
ERIVAG,1,2013,148,148,154,NA,NA,NA,NA,147,147,153,NA,NA,NA,NA
ERIVAG,2,2013,148,148,NA,NA,NA,NA,NA,147,147,NA,NA,NA,NA,NA
ERIVAG,3,2013,148,148,151,NA,NA,NA,NA,147,147,150,NA,NA,NA,NA
ERIVAG,4,2013,145,148,NA,NA,NA,NA,NA,144,147,NA,NA,NA,NA,NA
ERIVAG,5,2013,145,148,151,NA,NA,NA,NA,144,147,150,NA,NA,NA,NA
ERIVAG,6,2013,142,148,148,NA,NA,NA,NA,141,147,147,NA,NA,NA,NA
ERIVAG,7,2013,145,148,154,NA,NA,NA,NA,144,147,153,NA,NA,NA,NA
ERIVAG,8,2013,148,148,151,NA,NA,NA,NA,147,147,150,NA,NA,NA,NA
ERIVAG,9,2013,148,NA,154,NA,NA,NA,NA,147,NA,153,NA,NA,NA,NA
ERIVAG,10,2013,145,148,148,NA,NA,NA,NA,144,147,147,NA,NA,NA,NA
ERIVAG,11,2013,142,148,148,NA,NA,NA,NA,141,147,147,NA,NA,NA,NA
ERIVAG,12,2013,145,148,154,NA,NA,NA,NA,144,147,153,NA,NA,NA,NA
ERIVAG,13,2013,148,148,NA,NA,NA,NA,NA,147,147,NA,NA,NA,NA,NA
ERIVAG,14,2013,145,148,154,NA,NA,NA,NA,144,147,153,NA,NA,NA,NA
ERIVAG,15,2013,145,148,154,NA,NA,NA,NA,144,147,153,NA,NA,NA,NA
ERIVAG,16,2013,145,148,148,NA,NA,NA,NA,144,147,147,NA,NA,NA,NA
ERIVAG,17,2013,142,NA,154,NA,NA,NA,NA,141,NA,153,NA,NA,NA,NA
ERIVAG,18,2013,145,148,154,NA,NA,NA,NA,144,147,153,NA,NA,NA,NA
ERIVAG,19,2013,142,148,122,NA,NA,NA,NA,141,147,118,NA,NA,NA,NA
ERIVAG,20,2013,142,148,148,NA,NA,NA,NA,141,147,147,NA,NA,NA,NA
SALARC,F1,2013,160,178,NA,NA,216,241,214,159,177,NA,NA,214,240,213
SALARC,F10,2013,154,166,NA,NA,216,237,245,153,165,NA,NA,214,236,241
SALARC,F2,2013,NA,166,NA,NA,216,237,245,NA,165,NA,NA,214,236,241
SALARC,F3,2013,160,166,NA,NA,205,237,245,159,165,NA,NA,204,236,241
SALARC,F4,2013,160,166,NA,NA,223,237,245,159,165,NA,NA,222,236,241
SALARC,F5,2013,160,166,190,NA,241,NA,249,159,165,189,NA,240,NA,245
SALARC,F6,2013,154,166,NA,NA,213,234,236,153,165,NA,NA,211,232,235
SALARC,F7,2013,154,166,NA,NA,223,237,252,153,165,NA,NA,222,236,249
SALARC,F8,2013,154,166,NA,NA,205,237,245,153,165,NA,NA,204,236,241
SALARC,F9,2013,154,166,NA,184,205,237,245,153,165,NA,183,204,236,241
SALARC,M1,2013,NA,166,NA,NA,210,241,249,NA,165,NA,NA,208,240,245
SALARC,M10,2013,154,166,184,NA,205,241,249,153,165,183,NA,204,240,245
SALARC,M2,2013,160,178,NA,NA,234,241,249,159,177,NA,NA,232,240,245
SALARC,M3,2013,160,175,NA,NA,254,268,249,159,174,NA,NA,252,254,245
SALARC,M4,2013,160,166,184,NA,223,241,249,159,165,183,NA,222,240,245
SALARC,M5,2013,160,172,181,NA,223,241,249,159,171,180,NA,222,240,245
SALARC,M6,2013,154,166,NA,NA,216,237,245,153,165,NA,NA,214,236,241
